DATE,CARRIER_CODE,AIRPORT_CODE,TOTAL_FLIGHTS,DELAYED_FLIGHTS,CANCELLED_FLIGHTS,DIVERTED_FLIGHTS,PCT_DELAYED,PCT_CANCELLED,PCT_DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,TOTAL_DELAY_MIN
2025-06-01,9E,MLI,60.0,20.0,0,0,33.33333333333333,0.0,0.0,230.0,128.0,270.0,0.0,813.0,1441.0
2025-06-01,9E,MLU,90.0,31.0,0,0,34.44444444444444,0.0,0.0,1168.0,417.0,131.0,0.0,1039.0,2755.0
2025-06-01,9E,MOB,93.0,33.0,0,0,35.483870967741936,0.0,0.0,618.0,200.0,584.0,0.0,535.0,1937.0
2025-06-01,9E,MOT,24.0,8.0,0,0,33.33333333333333,0.0,0.0,60.0,47.0,0.0,0.0,490.0,597.0
2025-06-01,9E,MSN,58.0,17.0,0,0,29.310344827586203,0.0,0.0,770.0,219.0,209.0,0.0,595.0,1793.0
2025-06-01,9E,MSP,957.0,212.0,0,0,22.152560083594565,0.0,0.0,4077.0,1100.0,2177.0,0.0,10200.0,17554.0
2025-06-01,9E,MYR,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01,9E,OAJ,114.0,34.0,0,0,29.82456140350877,0.0,0.0,516.0,71.0,586.0,0.0,1427.0,2600.0
2025-06-01,9E,OMA,99.0,34.0,0,0,34.34343434343434,0.0,0.0,992.0,54.0,594.0,0.0,1643.0,3283.0
2025-06-01,9E,ORD,87.0,15.0,0,0,17.24137931034483,0.0,0.0,341.0,93.0,409.0,0.0,152.0,995.0
2025-06-01,9E,ORF,175.0,66.0,0,0,37.714285714285715,0.0,0.0,1769.0,0.0,1231.0,0.0,2105.0,5105.0
2025-06-01,9E,ORH,26.0,4.0,0,0,15.384615384615385,0.0,0.0,135.0,0.0,12.0,0.0,25.0,172.0
2025-06-01,9E,PIT,114.0,38.0,0,0,33.33333333333333,0.0,0.0,1536.0,90.0,645.0,0.0,692.0,2963.0
2025-06-01,9E,PNS,15.0,4.0,0,0,26.666666666666668,0.0,0.0,124.0,0.0,22.0,0.0,5.0,151.0
2025-06-01,9E,PVD,59.0,9.0,0,0,15.254237288135593,0.0,0.0,228.0,0.0,54.0,0.0,444.0,726.0
2025-06-01,9E,PWM,154.0,49.0,0,0,31.818181818181817,0.0,0.0,1130.0,748.0,466.0,0.0,2471.0,4815.0
2025-06-01,9E,RAP,47.0,14.0,0,0,29.78723404255319,0.0,0.0,246.0,0.0,64.0,0.0,286.0,596.0
2025-06-01,9E,RDU,611.0,185.0,0,0,30.27823240589198,0.0,0.0,3361.0,72.0,2895.0,0.0,11858.0,18186.0
2025-06-01,9E,RIC,215.0,61.0,0,0,28.37209302325581,0.0,0.0,960.0,494.0,1133.0,0.0,2741.0,5328.0
2025-06-01,9E,ROA,112.0,31.0,0,0,27.67857142857143,0.0,0.0,628.0,107.0,896.0,0.0,786.0,2417.0
2025-06-01,9E,ROC,228.0,72.0,0,0,31.57894736842105,0.0,0.0,989.0,205.0,2092.0,0.0,3081.0,6367.0
2025-06-01,9E,RST,47.0,17.0,0,0,36.17021276595745,0.0,0.0,217.0,2.0,70.0,0.0,692.0,981.0
2025-06-01,9E,RSW,4.0,1.0,0,0,25.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,78.0
2025-06-01,9E,SAV,145.0,40.0,0,0,27.586206896551722,0.0,0.0,719.0,30.0,1349.0,0.0,1426.0,3524.0
2025-06-01,9E,SBN,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01,9E,SDF,40.0,4.0,0,0,10.0,0.0,0.0,54.0,0.0,19.0,0.0,20.0,93.0
2025-06-01,9E,SGF,29.0,3.0,0,0,10.344827586206897,0.0,0.0,9.0,0.0,227.0,0.0,28.0,264.0
2025-06-01,9E,SHV,20.0,2.0,0,0,10.0,0.0,0.0,26.0,0.0,43.0,0.0,54.0,123.0
2025-06-01,9E,STL,166.0,43.0,0,0,25.903614457831324,0.0,0.0,2029.0,15.0,917.0,0.0,1447.0,4408.0
2025-06-01,9E,SYR,262.0,69.0,0,0,26.33587786259542,0.0,0.0,2796.0,196.0,934.0,0.0,2529.0,6455.0
2025-06-01,9E,TLH,61.0,17.0,0,0,27.86885245901639,0.0,0.0,199.0,67.0,273.0,0.0,491.0,1030.0
2025-06-01,9E,TRI,65.0,10.0,0,0,15.384615384615385,0.0,0.0,391.0,55.0,94.0,0.0,188.0,728.0
2025-06-01,9E,TUL,27.0,12.0,0,0,44.44444444444444,0.0,0.0,187.0,0.0,1165.0,0.0,334.0,1686.0
2025-06-01,9E,TVC,38.0,8.0,0,0,21.052631578947366,0.0,0.0,193.0,0.0,81.0,0.0,153.0,427.0
2025-06-01,9E,TYS,306.0,116.0,0,0,37.908496732026144,0.0,0.0,2964.0,912.0,2870.0,0.0,4249.0,10995.0
2025-06-01,9E,VLD,86.0,32.0,0,0,37.2093023255814,0.0,0.0,1080.0,206.0,200.0,0.0,793.0,2279.0
2025-06-01,9E,XNA,284.0,83.0,0,0,29.225352112676056,0.0,0.0,3105.0,618.0,1093.0,0.0,2232.0,7048.0
2025-06-01,AA,ABQ,285.0,112.0,0,0,39.29824561403509,0.0,0.0,3636.0,33.0,601.0,0.0,3465.0,7735.0
2025-06-01,AA,ALB,105.0,43.0,0,0,40.95238095238095,0.0,0.0,628.0,830.0,213.0,168.0,1560.0,3399.0
2025-06-01,AA,AMA,26.0,15.0,0,0,57.692307692307686,0.0,0.0,438.0,15.0,42.0,0.0,359.0,854.0
2025-06-01,AA,ANC,87.0,48.0,0,0,55.172413793103445,0.0,0.0,974.0,52.0,502.0,0.0,2022.0,3550.0
2025-06-01,AA,ATL,655.0,259.0,0,0,39.541984732824424,0.0,0.0,5928.0,885.0,4407.0,0.0,11683.0,22903.0
2025-06-01,AA,AUS,1003.0,308.0,0,0,30.707876370887337,0.0,0.0,6994.0,2349.0,2827.0,23.0,11848.0,24041.0
2025-06-01,AA,AVL,86.0,37.0,0,0,43.02325581395349,0.0,0.0,400.0,549.0,488.0,0.0,1647.0,3084.0
2025-06-01,AA,BDL,406.0,155.0,0,0,38.17733990147783,0.0,0.0,3641.0,765.0,1071.0,0.0,5397.0,10874.0
2025-06-01,AA,BFL,57.0,24.0,0,0,42.10526315789473,0.0,0.0,454.0,16.0,122.0,0.0,1021.0,1613.0
2025-06-01,AA,BGR,54.0,16.0,0,0,29.629629629629626,0.0,0.0,501.0,0.0,117.0,0.0,423.0,1041.0
2025-06-01,AA,BHM,51.0,26.0,0,0,50.98039215686274,0.0,0.0,884.0,269.0,343.0,0.0,578.0,2074.0
2025-06-01,AA,BNA,851.0,348.0,0,0,40.8930669800235,0.0,0.0,7131.0,1360.0,4016.0,0.0,16368.0,28875.0
2025-06-01,AA,BOI,85.0,30.0,0,0,35.294117647058826,0.0,0.0,841.0,12.0,166.0,0.0,1249.0,2268.0
2025-06-01,AA,BOS,1390.0,433.0,0,0,31.151079136690647,0.0,0.0,9567.0,2190.0,6044.0,1.0,15414.0,33216.0
2025-06-01,AA,BTV,52.0,11.0,0,0,21.153846153846153,0.0,0.0,1784.0,16.0,135.0,0.0,1120.0,3055.0
2025-06-01,AA,BUF,221.0,91.0,0,0,41.17647058823529,0.0,0.0,1534.0,865.0,670.0,0.0,2984.0,6053.0
2025-06-01,AA,BUR,90.0,31.0,0,0,34.44444444444444,0.0,0.0,661.0,7.0,215.0,0.0,1653.0,2536.0
2025-06-01,AA,BWI,320.0,142.0,0,0,44.375,0.0,0.0,2238.0,2178.0,1444.0,0.0,4575.0,10435.0
2025-06-01,AA,BZN,157.0,47.0,0,0,29.936305732484076,0.0,0.0,1212.0,75.0,468.0,0.0,2192.0,3947.0
2025-06-01,AA,CAE,8.0,2.0,0,0,25.0,0.0,0.0,27.0,0.0,3.0,0.0,13.0,43.0
2025-06-01,AA,CHS,509.0,178.0,0,0,34.9705304518664,0.0,0.0,3733.0,1352.0,1652.0,0.0,7732.0,14469.0
2025-06-01,AA,CID,37.0,22.0,0,0,59.45945945945946,0.0,0.0,749.0,181.0,142.0,0.0,826.0,1898.0
2025-06-01,AA,CLE,378.0,156.0,0,0,41.269841269841265,0.0,0.0,3947.0,1535.0,1374.0,0.0,7154.0,14010.0
2025-06-01,AA,CLT,9929.0,2576.0,0,0,25.944203847315944,0.0,0.0,69646.0,30028.0,42919.0,263.0,102489.0,245345.0
2025-06-01,AA,CMH,340.0,121.0,0,0,35.588235294117645,0.0,0.0,2550.0,356.0,1541.0,5.0,5307.0,9759.0
2025-06-01,AA,COS,116.0,51.0,0,0,43.96551724137931,0.0,0.0,862.0,550.0,225.0,0.0,2485.0,4122.0
2025-06-01,AA,CVG,240.0,87.0,0,0,36.25,0.0,0.0,1506.0,330.0,650.0,0.0,3372.0,5858.0
2025-06-01,AA,DCA,2169.0,661.0,0,0,30.474873213462427,0.0,0.0,17920.0,8465.0,13714.0,9.0,34402.0,74510.0
2025-06-01,AA,DEN,784.0,308.0,0,0,39.285714285714285,0.0,0.0,7440.0,1020.0,5856.0,0.0,11585.0,25901.0
2025-06-01,AA,DFW,14367.0,4568.0,0,0,31.79508596088258,0.0,0.0,136231.0,26187.0,62769.0,317.0,207875.0,433379.0
2025-06-01,AA,DRO,4.0,2.0,0,0,50.0,0.0,0.0,30.0,0.0,0.0,0.0,67.0,97.0
2025-06-01,AA,DSM,185.0,88.0,0,0,47.56756756756757,0.0,0.0,2811.0,339.0,658.0,0.0,3785.0,7593.0
2025-06-01,AA,DTW,459.0,131.0,0,0,28.540305010893245,0.0,0.0,2707.0,1172.0,1104.0,0.0,4467.0,9450.0
2025-06-01,AA,ECP,61.0,27.0,0,0,44.26229508196721,0.0,0.0,511.0,0.0,158.0,0.0,1750.0,2419.0
2025-06-01,AA,EGE,82.0,26.0,0,0,31.70731707317073,0.0,0.0,639.0,302.0,223.0,0.0,1501.0,2665.0
2025-06-01,AA,ELP,150.0,78.0,0,0,52.0,0.0,0.0,2420.0,292.0,607.0,0.0,3706.0,7025.0
2025-06-01,AA,EUG,60.0,19.0,0,0,31.666666666666664,0.0,0.0,999.0,0.0,182.0,0.0,941.0,2122.0
2025-06-01,AA,EWR,522.0,201.0,0,0,38.50574712643678,0.0,0.0,3522.0,1292.0,5528.0,14.0,5416.0,15772.0
2025-06-01,AA,EYW,110.0,28.0,0,0,25.454545454545453,0.0,0.0,1304.0,105.0,262.0,0.0,1144.0,2815.0
2025-06-01,AA,FAT,209.0,81.0,0,0,38.75598086124402,0.0,0.0,1133.0,190.0,673.0,0.0,2993.0,4989.0
2025-06-01,AA,FCA,112.0,42.0,0,0,37.5,0.0,0.0,783.0,202.0,519.0,0.0,1463.0,2967.0
2025-06-01,AA,FLL,516.0,191.0,0,0,37.01550387596899,0.0,0.0,3332.0,1105.0,2206.0,0.0,7140.0,13783.0
2025-06-01,AA,FSD,56.0,28.0,0,0,50.0,0.0,0.0,1111.0,498.0,297.0,0.0,1071.0,2977.0
2025-06-01,AA,GEG,135.0,25.0,0,0,18.51851851851852,0.0,0.0,705.0,7.0,259.0,0.0,567.0,1538.0
2025-06-01,AA,GRR,232.0,84.0,0,0,36.206896551724135,0.0,0.0,1632.0,444.0,536.0,0.0,3323.0,5935.0
2025-06-01,AA,GSO,132.0,51.0,0,0,38.63636363636363,0.0,0.0,602.0,611.0,430.0,0.0,2623.0,4266.0
2025-06-01,AA,GSP,81.0,45.0,0,0,55.55555555555556,0.0,0.0,791.0,90.0,161.0,0.0,1920.0,2962.0
2025-06-01,AA,HNL,206.0,76.0,0,0,36.89320388349515,0.0,0.0,1830.0,0.0,539.0,0.0,1943.0,4312.0
2025-06-01,AA,HSV,27.0,8.0,0,0,29.629629629629626,0.0,0.0,88.0,0.0,49.0,0.0,96.0,233.0
2025-06-01,AA,IAD,78.0,33.0,0,0,42.30769230769231,0.0,0.0,540.0,415.0,229.0,0.0,1712.0,2896.0
2025-06-01,AA,IAH,658.0,264.0,0,0,40.121580547112465,0.0,0.0,6084.0,2518.0,5907.0,0.0,8280.0,22789.0
2025-06-01,AA,ICT,27.0,20.0,0,0,74.07407407407408,0.0,0.0,935.0,180.0,163.0,0.0,887.0,2165.0
2025-06-01,AA,ILM,191.0,61.0,0,0,31.93717277486911,0.0,0.0,1413.0,1647.0,823.0,0.0,2756.0,6639.0
2025-06-01,AA,IND,612.0,214.0,0,0,34.967320261437905,0.0,0.0,2797.0,756.0,2232.0,9.0,10309.0,16103.0
2025-06-01,AA,JAC,172.0,50.0,0,0,29.069767441860467,0.0,0.0,630.0,20.0,330.0,0.0,2575.0,3555.0
2025-06-01,AA,JAX,695.0,262.0,0,0,37.697841726618705,0.0,0.0,6802.0,1702.0,3554.0,8.0,10509.0,22575.0
2025-06-01,AA,JFK,1191.0,388.0,0,0,32.57766582703611,0.0,0.0,7389.0,1348.0,12759.0,0.0,13157.0,34653.0
2025-06-01,AA,KOA,60.0,10.0,0,0,16.666666666666664,0.0,0.0,473.0,0.0,47.0,0.0,453.0,973.0
2025-06-01,AA,LAS,1175.0,406.0,0,0,34.5531914893617,0.0,0.0,8639.0,1255.0,5176.0,1.0,14195.0,29266.0
2025-06-01,AA,LAX,2657.0,776.0,0,0,29.205871283402335,0.0,0.0,31763.0,4430.0,8153.0,94.0,30972.0,75412.0
2025-06-01,AA,LBB,37.0,23.0,0,0,62.16216216216216,0.0,0.0,648.0,144.0,62.0,0.0,938.0,1792.0
2025-06-01,AA,LGA,1335.0,516.0,0,0,38.651685393258425,0.0,0.0,7821.0,3900.0,14051.0,0.0,17811.0,43583.0
2025-06-01,AA,LIH,60.0,8.0,0,0,13.333333333333334,0.0,0.0,340.0,0.0,6.0,0.0,262.0,608.0
2025-06-01,AA,LIT,33.0,17.0,0,0,51.515151515151516,0.0,0.0,837.0,1008.0,75.0,0.0,497.0,2417.0
2025-06-01,AA,MCI,497.0,247.0,0,0,49.69818913480885,0.0,0.0,6076.0,1368.0,2190.0,0.0,11218.0,20852.0
2025-06-01,AA,MCO,1590.0,633.0,0,0,39.81132075471698,0.0,0.0,10755.0,4332.0,12552.0,122.0,21935.0,49696.0
2025-06-01,AA,MDT,55.0,27.0,0,0,49.09090909090909,0.0,0.0,936.0,162.0,159.0,0.0,1016.0,2273.0
2025-06-01,AA,MEM,301.0,122.0,0,0,40.53156146179402,0.0,0.0,2495.0,778.0,1224.0,0.0,4792.0,9289.0
2025-06-01,AA,MFE,69.0,36.0,0,0,52.17391304347826,0.0,0.0,528.0,189.0,227.0,0.0,1263.0,2207.0
2025-06-01,AA,MIA,5265.0,1360.0,0,0,25.8309591642925,0.0,0.0,43280.0,10822.0,17487.0,265.0,57854.0,129708.0
