DATE,CARRIER_CODE,AIRPORT_CODE,DELAY_CAUSE,DELAY_MINUTES
2025-06-01,9E,GSO,SECURITY_DELAY,0.0
2025-06-01,9E,GSO,WEATHER_DELAY,0.0
2025-06-01,9E,GSP,CARRIER_DELAY,681.0
2025-06-01,9E,GSP,LATE_AIRCRAFT_DELAY,1100.0
2025-06-01,9E,GSP,NAS_DELAY,537.0
2025-06-01,9E,GSP,SECURITY_DELAY,0.0
2025-06-01,9E,GSP,WEATHER_DELAY,0.0
2025-06-01,9E,GTR,CARRIER_DELAY,381.0
2025-06-01,9E,GTR,LATE_AIRCRAFT_DELAY,947.0
2025-06-01,9E,GTR,NAS_DELAY,223.0
2025-06-01,9E,GTR,SECURITY_DELAY,0.0
2025-06-01,9E,GTR,WEATHER_DELAY,49.0
2025-06-01,9E,HPN,CARRIER_DELAY,523.0
2025-06-01,9E,HPN,LATE_AIRCRAFT_DELAY,750.0
2025-06-01,9E,HPN,NAS_DELAY,390.0
2025-06-01,9E,HPN,SECURITY_DELAY,0.0
2025-06-01,9E,HPN,WEATHER_DELAY,302.0
2025-06-01,9E,HSV,CARRIER_DELAY,1232.0
2025-06-01,9E,HSV,LATE_AIRCRAFT_DELAY,1678.0
2025-06-01,9E,HSV,NAS_DELAY,783.0
2025-06-01,9E,HSV,SECURITY_DELAY,0.0
2025-06-01,9E,HSV,WEATHER_DELAY,243.0
2025-06-01,9E,IAD,CARRIER_DELAY,354.0
2025-06-01,9E,IAD,LATE_AIRCRAFT_DELAY,504.0
2025-06-01,9E,IAD,NAS_DELAY,509.0
2025-06-01,9E,IAD,SECURITY_DELAY,0.0
2025-06-01,9E,IAD,WEATHER_DELAY,0.0
2025-06-01,9E,ICT,CARRIER_DELAY,147.0
2025-06-01,9E,ICT,LATE_AIRCRAFT_DELAY,36.0
2025-06-01,9E,ICT,NAS_DELAY,21.0
2025-06-01,9E,ICT,SECURITY_DELAY,0.0
2025-06-01,9E,ICT,WEATHER_DELAY,0.0
2025-06-01,9E,ILM,CARRIER_DELAY,1526.0
2025-06-01,9E,ILM,LATE_AIRCRAFT_DELAY,698.0
