DATE,AIRPORT_CODE,TOTAL_FLIGHTS,DELAYED_FLIGHTS,CANCELLED_FLIGHTS,DIVERTED_FLIGHTS,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,PCT_DELAYED,PCT_CANCELLED,PCT_DIVERTED
2025-06-01,CMH,4115.0,1310.0,0.0,0.0,28613.0,4885.0,17775.0,85.0,43003.0,31.83475091130012,0.0,0.0
2025-06-01,CMI,132.0,43.0,0.0,0.0,507.0,159.0,323.0,0.0,2145.0,32.57575757575758,0.0,0.0
2025-06-01,CMX,64.0,27.0,0.0,0.0,1799.0,563.0,193.0,0.0,968.0,42.1875,0.0,0.0
2025-06-01,COD,98.0,29.0,0.0,0.0,838.0,233.0,384.0,0.0,1346.0,29.591836734693878,0.0,0.0
2025-06-01,COS,1229.0,443.0,0.0,0.0,12056.0,3073.0,5194.0,0.0,14585.0,36.04556550040684,0.0,0.0
2025-06-01,COU,173.0,54.0,0.0,0.0,501.0,364.0,415.0,0.0,1861.0,31.213872832369944,0.0,0.0
2025-06-01,CPR,209.0,77.0,0.0,0.0,2451.0,286.0,1660.0,0.0,2405.0,36.84210526315789,0.0,0.0
2025-06-01,CRP,493.0,150.0,0.0,0.0,4889.0,1940.0,2151.0,0.0,7010.0,30.425963488843816,0.0,0.0
2025-06-01,CRW,330.0,106.0,0.0,0.0,5825.0,1637.0,1110.0,0.0,4730.0,32.121212121212125,0.0,0.0
2025-06-01,CSG,86.0,28.0,0.0,0.0,1096.0,47.0,286.0,0.0,523.0,32.55813953488372,0.0,0.0
2025-06-01,CVG,3828.0,1229.0,0.0,0.0,27161.0,6633.0,15009.0,4.0,50317.0,32.1055381400209,0.0,0.0
2025-06-01,CWA,150.0,37.0,0.0,0.0,1221.0,215.0,270.0,0.0,1367.0,24.666666666666668,0.0,0.0
2025-06-01,CYS,60.0,25.0,0.0,0.0,1081.0,255.0,385.0,0.0,1178.0,41.66666666666667,0.0,0.0
2025-06-01,DAB,271.0,81.0,0.0,0.0,1810.0,526.0,539.0,0.0,2547.0,29.88929889298893,0.0,0.0
2025-06-01,DAL,6206.0,1681.0,0.0,0.0,27531.0,3892.0,17541.0,131.0,54960.0,27.086690299709957,0.0,0.0
2025-06-01,DAY,893.0,313.0,0.0,0.0,7115.0,2545.0,3585.0,0.0,17532.0,35.05039193729003,0.0,0.0
2025-06-01,DCA,12223.0,3857.0,0.0,0.0,96026.0,31881.0,98639.0,390.0,143686.0,31.555264664975862,0.0,0.0
2025-06-01,DDC,52.0,14.0,0.0,0.0,225.0,0.0,422.0,0.0,433.0,26.923076923076923,0.0,0.0
2025-06-01,DEC,52.0,11.0,0.0,0.0,126.0,0.0,341.0,0.0,89.0,21.153846153846153,0.0,0.0
2025-06-01,DEN,28168.0,8930.0,0.0,0.0,182758.0,46940.0,290637.0,102.0,204082.0,31.702641295086625,0.0,0.0
